seq_id,source,type,start,end,score,strand,phase,attributes
II,LD information,LD block,541047,541054,1,+,.,Name=CHR_2_651-652
II,LD information,LD block,542505,552681,1,+,.,Name=CHR_2_653-658
II,LD information,LD block,553949,558703,1,+,.,Name=CHR_2_660-665
II,LD information,LD block,562919,564751,1,+,.,Name=CHR_2_667-668
II,LD information,LD block,567265,567339,1,+,.,Name=CHR_2_669-670
II,LD information,LD block,571362,573624,1,+,.,Name=CHR_2_672-676
II,LD information,LD block,573868,574678,1,+,.,Name=CHR_2_678-682
II,LD information,LD block,577915,579042,1,+,.,Name=CHR_2_684-685
II,LD information,LD block,581558,582226,1,+,.,Name=CHR_2_686-687
II,LD information,LD block,592973,610624,1,+,.,Name=CHR_2_692-704
II,LD information,LD block,616723,638637,1,+,.,Name=CHR_2_706-731
II,LD information,LD block,645476,649511,1,+,.,Name=CHR_2_734-738
II,LD information,LD block,650924,662669,1,+,.,Name=CHR_2_741-745
II,LD information,LD block,668152,680493,1,+,.,Name=CHR_2_746-752
II,LD information,LD block,682076,682239,1,+,.,Name=CHR_2_754-755
II,LD information,LD block,687998,698030,1,+,.,Name=CHR_2_757-764
II,LD information,LD block,699381,701195,1,+,.,Name=CHR_2_767-771
II,LD information,LD block,703873,704219,1,+,.,Name=CHR_2_772-773
II,LD information,LD block,705106,712761,1,+,.,Name=CHR_2_776-783
II,LD information,LD block,712877,717833,1,+,.,Name=CHR_2_785-789
II,LD information,LD block,718552,720641,1,+,.,Name=CHR_2_791-796
II,LD information,LD block,722169,723281,1,+,.,Name=CHR_2_797-798
II,LD information,LD block,725477,747212,1,+,.,Name=CHR_2_800-821
II,LD information,LD block,750067,751443,1,+,.,Name=CHR_2_824-825
II,LD information,LD block,758111,773629,1,+,.,Name=CHR_2_827-834
II,LD information,LD block,774837,780187,1,+,.,Name=CHR_2_838-842
II,LD information,LD block,780443,788140,1,+,.,Name=CHR_2_845-853
II,LD information,LD block,789465,792233,1,+,.,Name=CHR_2_855-862
II,LD information,LD block,794032,801662,1,+,.,Name=CHR_2_863-872
II,LD information,LD block,801676,801677,1,+,.,Name=CHR_2_874-875
II,LD information,LD block,801689,801690,1,+,.,Name=CHR_2_876-877
III,LD information,LD block,550,583,1,+,.,Name=CHR_3_891-892
III,LD information,LD block,612,617,1,+,.,Name=CHR_3_893-894
III,LD information,LD block,776,780,1,+,.,Name=CHR_3_897-898
III,LD information,LD block,929,931,1,+,.,Name=CHR_3_899-900
III,LD information,LD block,1349,1357,1,+,.,Name=CHR_3_902-903
III,LD information,LD block,1886,1933,1,+,.,Name=CHR_3_904-905
III,LD information,LD block,2644,2869,1,+,.,Name=CHR_3_906-907
III,LD information,LD block,3249,3277,1,+,.,Name=CHR_3_909-910
III,LD information,LD block,6078,6190,1,+,.,Name=CHR_3_915-916
III,LD information,LD block,8528,9047,1,+,.,Name=CHR_3_918-920
III,LD information,LD block,14069,21337,1,+,.,Name=CHR_3_923-925
III,LD information,LD block,25563,27063,1,+,.,Name=CHR_3_928-929
III,LD information,LD block,29113,31109,1,+,.,Name=CHR_3_931-933
III,LD information,LD block,40865,49785,1,+,.,Name=CHR_3_936-949
III,LD information,LD block,52350,56674,1,+,.,Name=CHR_3_952-955
III,LD information,LD block,57055,57071,1,+,.,Name=CHR_3_959-960
III,LD information,LD block,59518,64656,1,+,.,Name=CHR_3_961-968
III,LD information,LD block,67277,76147,1,+,.,Name=CHR_3_969-980
III,LD information,LD block,79867,80444,1,+,.,Name=CHR_3_982-984
III,LD information,LD block,82706,84195,1,+,.,Name=CHR_3_986-987
III,LD information,LD block,84800,84803,1,+,.,Name=CHR_3_993-995
III,LD information,LD block,90611,90727,1,+,.,Name=CHR_3_997-1001
III,LD information,LD block,92556,92716,1,+,.,Name=CHR_3_1002-1004
III,LD information,LD block,95493,114395,1,+,.,Name=CHR_3_1006-1015
III,LD information,LD block,114885,126954,1,+,.,Name=CHR_3_1016-1024
III,LD information,LD block,131971,151509,1,+,.,Name=CHR_3_1026-1049
III,LD information,LD block,151520,151550,1,+,.,Name=CHR_3_1050-1055
III,LD information,LD block,152080,152269,1,+,.,Name=CHR_3_1056-1057
III,LD information,LD block,156729,198615,1,+,.,Name=CHR_3_1059-1093
III,LD information,LD block,203261,204903,1,+,.,Name=CHR_3_1095-1098
III,LD information,LD block,207966,208702,1,+,.,Name=CHR_3_1099-1106
III,LD information,LD block,210472,211348,1,+,.,Name=CHR_3_1107-1109
III,LD information,LD block,211881,212095,1,+,.,Name=CHR_3_1111-1113
III,LD information,LD block,218769,224310,1,+,.,Name=CHR_3_1117-1122
III,LD information,LD block,226294,241126,1,+,.,Name=CHR_3_1124-1138
III,LD information,LD block,242578,247158,1,+,.,Name=CHR_3_1140-1142
III,LD information,LD block,248454,259458,1,+,.,Name=CHR_3_1144-1169
III,LD information,LD block,261281,262631,1,+,.,Name=CHR_3_1171-1172
III,LD information,LD block,265059,291204,1,+,.,Name=CHR_3_1173-1203
III,LD information,LD block,291220,291227,1,+,.,Name=CHR_3_1204-1205
III,LD information,LD block,291349,291388,1,+,.,Name=CHR_3_1206-1207
III,LD information,LD block,293842,293855,1,+,.,Name=CHR_3_1212-1214
III,LD information,LD block,295047,299460,1,+,.,Name=CHR_3_1215-1221
III,LD information,LD block,299701,302380,1,+,.,Name=CHR_3_1223-1224
III,LD information,LD block,305013,305065,1,+,.,Name=CHR_3_1229-1230
III,LD information,LD block,306993,307057,1,+,.,Name=CHR_3_1234-1240
III,LD information,LD block,307230,307245,1,+,.,Name=CHR_3_1242-1245
III,LD information,LD block,316056,316065,1,+,.,Name=CHR_3_1251-1252
IV,LD information,LD block,2228,2230,1,+,.,Name=CHR_4_1253-1254
IV,LD information,LD block,21871,22141,1,+,.,Name=CHR_4_1259-1260
IV,LD information,LD block,26950,27059,1,+,.,Name=CHR_4_1262-1263
IV,LD information,LD block,37106,39021,1,+,.,Name=CHR_4_1267-1270
IV,LD information,LD block,43687,43823,1,+,.,Name=CHR_4_1271-1273
IV,LD information,LD block,48617,48723,1,+,.,Name=CHR_4_1277-1278
IV,LD information,LD block,49408,49675,1,+,.,Name=CHR_4_1279-1280
IV,LD information,LD block,51735,52141,1,+,.,Name=CHR_4_1281-1284
IV,LD information,LD block,53342,56089,1,+,.,Name=CHR_4_1285-1287
IV,LD information,LD block,57719,62324,1,+,.,Name=CHR_4_1289-1293
IV,LD information,LD block,65329,82701,1,+,.,Name=CHR_4_1294-1316
IV,LD information,LD block,83425,135409,1,+,.,Name=CHR_4_1319-1379
IV,LD information,LD block,135462,148075,1,+,.,Name=CHR_4_1381-1393
IV,LD information,LD block,149204,158963,1,+,.,Name=CHR_4_1395-1406
IV,LD information,LD block,160842,173461,1,+,.,Name=CHR_4_1407-1423
IV,LD information,LD block,174097,174131,1,+,.,Name=CHR_4_1424-1425
IV,LD information,LD block,174272,198420,1,+,.,Name=CHR_4_1426-1470
IV,LD information,LD block,203027,205977,1,+,.,Name=CHR_4_1472-1474
IV,LD information,LD block,210795,210833,1,+,.,Name=CHR_4_1476-1479
IV,LD information,LD block,211091,211612,1,+,.,Name=CHR_4_1480-1481
IV,LD information,LD block,213169,217566,1,+,.,Name=CHR_4_1484-1486
IV,LD information,LD block,220692,224966,1,+,.,Name=CHR_4_1491-1499
IV,LD information,LD block,228580,232107,1,+,.,Name=CHR_4_1502-1503
IV,LD information,LD block,234153,251719,1,+,.,Name=CHR_4_1506-1517
IV,LD information,LD block,256985,270158,1,+,.,Name=CHR_4_1521-1530
IV,LD information,LD block,271035,271787,1,+,.,Name=CHR_4_1532-1533
IV,LD information,LD block,274059,285234,1,+,.,Name=CHR_4_1534-1581
IV,LD information,LD block,285568,299599,1,+,.,Name=CHR_4_1583-1605
IV,LD information,LD block,302333,302347,1,+,.,Name=CHR_4_1608-1611
IV,LD information,LD block,303011,314192,1,+,.,Name=CHR_4_1614-1623
IV,LD information,LD block,315072,331098,1,+,.,Name=CHR_4_1624-1628
IV,LD information,LD block,336922,340555,1,+,.,Name=CHR_4_1629-1630
IV,LD information,LD block,351322,353020,1,+,.,Name=CHR_4_1631-1632
IV,LD information,LD block,355467,355569,1,+,.,Name=CHR_4_1634-1635
IV,LD information,LD block,356055,357802,1,+,.,Name=CHR_4_1636-1642
IV,LD information,LD block,362032,364690,1,+,.,Name=CHR_4_1643-1647
IV,LD information,LD block,368078,369403,1,+,.,Name=CHR_4_1648-1651
IV,LD information,LD block,370874,370948,1,+,.,Name=CHR_4_1653-1654
IV,LD information,LD block,372110,383923,1,+,.,Name=CHR_4_1656-1675
IV,LD information,LD block,384094,397927,1,+,.,Name=CHR_4_1677-1685
IV,LD information,LD block,400669,400864,1,+,.,Name=CHR_4_1686-1687
IV,LD information,LD block,405368,408981,1,+,.,Name=CHR_4_1690-1691
IV,LD information,LD block,413029,425858,1,+,.,Name=CHR_4_1693-1703
IV,LD information,LD block,428826,434351,1,+,.,Name=CHR_4_1707-1712
IV,LD information,LD block,435289,435291,1,+,.,Name=CHR_4_1713-1714
IV,LD information,LD block,445208,446835,1,+,.,Name=CHR_4_1717-1718
IV,LD information,LD block,450801,451837,1,+,.,Name=CHR_4_1721-1722
IV,LD information,LD block,454081,471707,1,+,.,Name=CHR_4_1725-1745
IV,LD information,LD block,472918,481074,1,+,.,Name=CHR_4_1747-1762
IV,LD information,LD block,482653,512749,1,+,.,Name=CHR_4_1764-1781
IV,LD information,LD block,520552,520665,1,+,.,Name=CHR_4_1785-1794
IV,LD information,LD block,521148,523964,1,+,.,Name=CHR_4_1795-1796
IV,LD information,LD block,537994,542062,1,+,.,Name=CHR_4_1797-1835
IV,LD information,LD block,544372,551365,1,+,.,Name=CHR_4_1838-1850
IV,LD information,LD block,553033,560213,1,+,.,Name=CHR_4_1851-1857
IV,LD information,LD block,562709,567579,1,+,.,Name=CHR_4_1860-1866
IV,LD information,LD block,571075,588662,1,+,.,Name=CHR_4_1869-1893
IV,LD information,LD block,590025,591983,1,+,.,Name=CHR_4_1895-1902
IV,LD information,LD block,593358,605918,1,+,.,Name=CHR_4_1910-1920
IV,LD information,LD block,608349,621613,1,+,.,Name=CHR_4_1922-1933
IV,LD information,LD block,621945,645245,1,+,.,Name=CHR_4_1935-1959
IV,LD information,LD block,657631,665217,1,+,.,Name=CHR_4_1962-1969
IV,LD information,LD block,667976,668243,1,+,.,Name=CHR_4_1970-1979
IV,LD information,LD block,668780,681488,1,+,.,Name=CHR_4_1981-1998
IV,LD information,LD block,682178,687895,1,+,.,Name=CHR_4_2000-2002
IV,LD information,LD block,689337,713555,1,+,.,Name=CHR_4_2005-2034
IV,LD information,LD block,721638,746943,1,+,.,Name=CHR_4_2037-2052
IV,LD information,LD block,747517,747529,1,+,.,Name=CHR_4_2053-2057
IV,LD information,LD block,749708,756811,1,+,.,Name=CHR_4_2059-2063
IV,LD information,LD block,757471,759686,1,+,.,Name=CHR_4_2064-2067
IV,LD information,LD block,760553,802519,1,+,.,Name=CHR_4_2068-2094
IV,LD information,LD block,802970,804961,1,+,.,Name=CHR_4_2095-2096
IV,LD information,LD block,811690,835337,1,+,.,Name=CHR_4_2100-2122
IV,LD information,LD block,838720,845722,1,+,.,Name=CHR_4_2123-2138
IV,LD information,LD block,846867,864546,1,+,.,Name=CHR_4_2140-2168
IV,LD information,LD block,864960,864990,1,+,.,Name=CHR_4_2169-2170
IV,LD information,LD block,865297,871373,1,+,.,Name=CHR_4_2171-2177
IV,LD information,LD block,871622,877784,1,+,.,Name=CHR_4_2178-2182
IV,LD information,LD block,877793,878026,1,+,.,Name=CHR_4_2183-2184
IV,LD information,LD block,884423,892444,1,+,.,Name=CHR_4_2188-2198
IV,LD information,LD block,894785,930823,1,+,.,Name=CHR_4_2200-2249
IV,LD information,LD block,932727,953287,1,+,.,Name=CHR_4_2251-2273
IV,LD information,LD block,956734,969630,1,+,.,Name=CHR_4_2274-2284
IV,LD information,LD block,973283,1045331,1,+,.,Name=CHR_4_2286-2343
IV,LD information,LD block,1046913,1052459,1,+,.,Name=CHR_4_2344-2349
IV,LD information,LD block,1057927,1057929,1,+,.,Name=CHR_4_2350-2351
IV,LD information,LD block,1062037,1079853,1,+,.,Name=CHR_4_2352-2362
IV,LD information,LD block,1086372,1101892,1,+,.,Name=CHR_4_2364-2373
IV,LD information,LD block,1102947,1108564,1,+,.,Name=CHR_4_2375-2381
IV,LD information,LD block,1112991,1150593,1,+,.,Name=CHR_4_2383-2404
IV,LD information,LD block,1154148,1154297,1,+,.,Name=CHR_4_2405-2410
IV,LD information,LD block,1154405,1155740,1,+,.,Name=CHR_4_2411-2415
IV,LD information,LD block,1156446,1158603,1,+,.,Name=CHR_4_2416-2422
IV,LD information,LD block,1161556,1166231,1,+,.,Name=CHR_4_2424-2428
IV,LD information,LD block,1171385,1176852,1,+,.,Name=CHR_4_2429-2441
IV,LD information,LD block,1181165,1271005,1,+,.,Name=CHR_4_2443-2500
IV,LD information,LD block,1272102,1276325,1,+,.,Name=CHR_4_2501-2504
IV,LD information,LD block,1278407,1287974,1,+,.,Name=CHR_4_2505-2513
IV,LD information,LD block,1291435,1307383,1,+,.,Name=CHR_4_2515-2526
IV,LD information,LD block,1311626,1330149,1,+,.,Name=CHR_4_2528-2539
IV,LD information,LD block,1333470,1352461,1,+,.,Name=CHR_4_2541-2563
IV,LD information,LD block,1353994,1354322,1,+,.,Name=CHR_4_2565-2567
IV,LD information,LD block,1355617,1385147,1,+,.,Name=CHR_4_2569-2587
IV,LD information,LD block,1389763,1420155,1,+,.,Name=CHR_4_2589-2611
IV,LD information,LD block,1424802,1441031,1,+,.,Name=CHR_4_2612-2627
IV,LD information,LD block,1443800,1447474,1,+,.,Name=CHR_4_2629-2647
IV,LD information,LD block,1447521,1456318,1,+,.,Name=CHR_4_2650-2664
IV,LD information,LD block,1462057,1475645,1,+,.,Name=CHR_4_2672-2682
IV,LD information,LD block,1480211,1489057,1,+,.,Name=CHR_4_2683-2693
IV,LD information,LD block,1490851,1492707,1,+,.,Name=CHR_4_2695-2699
IV,LD information,LD block,1493150,1495032,1,+,.,Name=CHR_4_2701-2710
IV,LD information,LD block,1499852,1505397,1,+,.,Name=CHR_4_2711-2719
IV,LD information,LD block,1505691,1505703,1,+,.,Name=CHR_4_2721-2722
IV,LD information,LD block,1505869,1513733,1,+,.,Name=CHR_4_2723-2736
IV,LD information,LD block,1514408,1517320,1,+,.,Name=CHR_4_2738-2743
IV,LD information,LD block,1517858,1521747,1,+,.,Name=CHR_4_2745-2751
IV,LD information,LD block,1522714,1523350,1,+,.,Name=CHR_4_2755-2759
IV,LD information,LD block,1523444,1523446,1,+,.,Name=CHR_4_2761-2762
IV,LD information,LD block,1523491,1523587,1,+,.,Name=CHR_4_2764-2767
V,LD information,LD block,8786,13449,1,+,.,Name=CHR_5_2768-2774
V,LD information,LD block,13639,18904,1,+,.,Name=CHR_5_2776-2782
V,LD information,LD block,19045,19084,1,+,.,Name=CHR_5_2785-2789
V,LD information,LD block,19504,19517,1,+,.,Name=CHR_5_2791-2793
V,LD information,LD block,21341,21533,1,+,.,Name=CHR_5_2795-2803
V,LD information,LD block,21552,21954,1,+,.,Name=CHR_5_2804-2806
V,LD information,LD block,22497,22502,1,+,.,Name=CHR_5_2807-2808
V,LD information,LD block,22625,22635,1,+,.,Name=CHR_5_2810-2811
V,LD information,LD block,22881,22917,1,+,.,Name=CHR_5_2814-2816
V,LD information,LD block,23224,23230,1,+,.,Name=CHR_5_2817-2818
V,LD information,LD block,23574,25103,1,+,.,Name=CHR_5_2819-2834
V,LD information,LD block,25485,26417,1,+,.,Name=CHR_5_2837-2840
V,LD information,LD block,27428,31451,1,+,.,Name=CHR_5_2841-2844
V,LD information,LD block,32038,38677,1,+,.,Name=CHR_5_2846-2861
V,LD information,LD block,41075,59261,1,+,.,Name=CHR_5_2863-2879
V,LD information,LD block,64504,72069,1,+,.,Name=CHR_5_2885-2898
V,LD information,LD block,74994,79230,1,+,.,Name=CHR_5_2900-2914
V,LD information,LD block,80396,83188,1,+,.,Name=CHR_5_2919-2922
V,LD information,LD block,87323,93878,1,+,.,Name=CHR_5_2925-2932
V,LD information,LD block,97629,99489,1,+,.,Name=CHR_5_2934-2943
V,LD information,LD block,102203,106822,1,+,.,Name=CHR_5_2947-2969
V,LD information,LD block,115925,116086,1,+,.,Name=CHR_5_2971-2972
V,LD information,LD block,119209,120796,1,+,.,Name=CHR_5_2974-2975
V,LD information,LD block,124644,132221,1,+,.,Name=CHR_5_2976-2981
V,LD information,LD block,134344,157488,1,+,.,Name=CHR_5_2984-2993
V,LD information,LD block,161956,192971,1,+,.,Name=CHR_5_2996-3028
V,LD information,LD block,196583,196585,1,+,.,Name=CHR_5_3029-3030
V,LD information,LD block,207275,212506,1,+,.,Name=CHR_5_3032-3041
V,LD information,LD block,214406,217319,1,+,.,Name=CHR_5_3042-3047
V,LD information,LD block,218253,223127,1,+,.,Name=CHR_5_3049-3065
V,LD information,LD block,225231,225280,1,+,.,Name=CHR_5_3066-3067
V,LD information,LD block,225400,225569,1,+,.,Name=CHR_5_3068-3070
V,LD information,LD block,227110,241225,1,+,.,Name=CHR_5_3072-3088
V,LD information,LD block,241984,243584,1,+,.,Name=CHR_5_3090-3093
V,LD information,LD block,245951,249350,1,+,.,Name=CHR_5_3095-3099
V,LD information,LD block,251602,258078,1,+,.,Name=CHR_5_3104-3110
V,LD information,LD block,260512,266244,1,+,.,Name=CHR_5_3113-3120
V,LD information,LD block,266246,268374,1,+,.,Name=CHR_5_3122-3127
V,LD information,LD block,269900,274156,1,+,.,Name=CHR_5_3128-3134
V,LD information,LD block,274280,285154,1,+,.,Name=CHR_5_3136-3143
V,LD information,LD block,290243,310175,1,+,.,Name=CHR_5_3146-3156
V,LD information,LD block,312612,317740,1,+,.,Name=CHR_5_3157-3162
V,LD information,LD block,320971,328525,1,+,.,Name=CHR_5_3164-3167
V,LD information,LD block,335406,336687,1,+,.,Name=CHR_5_3168-3170
V,LD information,LD block,341045,382369,1,+,.,Name=CHR_5_3171-3196
V,LD information,LD block,382808,390254,1,+,.,Name=CHR_5_3198-3202
V,LD information,LD block,391916,412759,1,+,.,Name=CHR_5_3203-3219
V,LD information,LD block,413385,430235,1,+,.,Name=CHR_5_3221-3230
V,LD information,LD block,430883,441594,1,+,.,Name=CHR_5_3232-3239
V,LD information,LD block,443369,443378,1,+,.,Name=CHR_5_3241-3244
V,LD information,LD block,451448,461234,1,+,.,Name=CHR_5_3245-3248
V,LD information,LD block,463004,469404,1,+,.,Name=CHR_5_3250-3255
V,LD information,LD block,475322,491888,1,+,.,Name=CHR_5_3256-3276
V,LD information,LD block,492146,509836,1,+,.,Name=CHR_5_3278-3283
V,LD information,LD block,511350,522215,1,+,.,Name=CHR_5_3285-3296
V,LD information,LD block,523232,529382,1,+,.,Name=CHR_5_3298-3305
V,LD information,LD block,532205,540682,1,+,.,Name=CHR_5_3307-3315
V,LD information,LD block,542346,549248,1,+,.,Name=CHR_5_3317-3329
V,LD information,LD block,549677,549802,1,+,.,Name=CHR_5_3330-3331
V,LD information,LD block,550708,554104,1,+,.,Name=CHR_5_3333-3339
V,LD information,LD block,554307,554308,1,+,.,Name=CHR_5_3341-3342
V,LD information,LD block,555454,561227,1,+,.,Name=CHR_5_3343-3360
V,LD information,LD block,561259,561510,1,+,.,Name=CHR_5_3361-3374
V,LD information,LD block,561524,561783,1,+,.,Name=CHR_5_3375-3393
V,LD information,LD block,561786,562097,1,+,.,Name=CHR_5_3394-3400
V,LD information,LD block,562116,563372,1,+,.,Name=CHR_5_3402-3436
V,LD information,LD block,563421,563427,1,+,.,Name=CHR_5_3437-3438
V,LD information,LD block,563452,563580,1,+,.,Name=CHR_5_3441-3446
V,LD information,LD block,563642,563661,1,+,.,Name=CHR_5_3449-3450
V,LD information,LD block,563665,563837,1,+,.,Name=CHR_5_3451-3456
V,LD information,LD block,563866,564360,1,+,.,Name=CHR_5_3458-3485
V,LD information,LD block,564372,564680,1,+,.,Name=CHR_5_3486-3506
V,LD information,LD block,564696,565254,1,+,.,Name=CHR_5_3507-3538
V,LD information,LD block,565293,565711,1,+,.,Name=CHR_5_3540-3558
V,LD information,LD block,565722,565808,1,+,.,Name=CHR_5_3559-3564
V,LD information,LD block,565834,565885,1,+,.,Name=CHR_5_3565-3567
V,LD information,LD block,566202,566580,1,+,.,Name=CHR_5_3568-3588
V,LD information,LD block,566740,566755,1,+,.,Name=CHR_5_3589-3590
VI,LD information,LD block,12139,14958,1,+,.,Name=CHR_6_3591-3594
VI,LD information,LD block,14985,15003,1,+,.,Name=CHR_6_3595-3597
VI,LD information,LD block,16905,19887,1,+,.,Name=CHR_6_3598-3601
VI,LD information,LD block,22804,26594,1,+,.,Name=CHR_6_3603-3606
VI,LD information,LD block,27767,29838,1,+,.,Name=CHR_6_3611-3614
VI,LD information,LD block,32438,57460,1,+,.,Name=CHR_6_3621-3657
VI,LD information,LD block,62743,72514,1,+,.,Name=CHR_6_3660-3671
VI,LD information,LD block,73433,74406,1,+,.,Name=CHR_6_3673-3674
VI,LD information,LD block,74913,76427,1,+,.,Name=CHR_6_3676-3678
VI,LD information,LD block,78316,83761,1,+,.,Name=CHR_6_3682-3690
VI,LD information,LD block,88005,88006,1,+,.,Name=CHR_6_3692-3693
VI,LD information,LD block,88398,92208,1,+,.,Name=CHR_6_3696-3701
VI,LD information,LD block,95448,95468,1,+,.,Name=CHR_6_3702-3703
VI,LD information,LD block,101306,101478,1,+,.,Name=CHR_6_3710-3713
VI,LD information,LD block,106653,107527,1,+,.,Name=CHR_6_3717-3719
VI,LD information,LD block,111711,116654,1,+,.,Name=CHR_6_3722-3726
VI,LD information,LD block,118753,163435,1,+,.,Name=CHR_6_3727-3739
VI,LD information,LD block,166074,167705,1,+,.,Name=CHR_6_3741-3747
VI,LD information,LD block,167939,168223,1,+,.,Name=CHR_6_3749-3750
VI,LD information,LD block,168572,179311,1,+,.,Name=CHR_6_3753-3757
VI,LD information,LD block,180643,191665,1,+,.,Name=CHR_6_3759-3768
VI,LD information,LD block,191937,193671,1,+,.,Name=CHR_6_3770-3773
VI,LD information,LD block,199005,204681,1,+,.,Name=CHR_6_3774-3781
